# lsed                 radius_correction    radius_correction_lbound radius_correction_ubound radius              radius_lbound       radius_ubound      
  0.003                0.01733023593438586  0.004032361468069522     0.031436603465412806     0.19490249430236617 0.1816046198360498  0.2090088618333931 
  0.004                0.017854757750004033 0.004267722048003859     0.03208806233715839      0.2191624443476378  0.20557540864563761 0.23339574893479215
  0.005                0.018367152960713222 0.004495066796586139     0.032730432623442905     0.24008721928149682 0.22621513311736974 0.2544504989442265 
  0.006                0.018867421566513425 0.00471439571381636      0.03336371432426634      0.2581757202009157  0.24402269434821863 0.2726720129586686 
  0.007                0.019355563567404643 0.004925708799694523     0.033987907439628685     0.27461856694163134 0.2601887121739212  0.2892509108138554 
  0.008                0.019831578963386873 0.005129006054220628     0.03460301196952995      0.2895868472506063  0.27488427434144    0.3043582802567494 
  0.009000000000000001 0.020295467754460117 0.005324287477394676     0.03520902791397014      0.303453818105756   0.28848263782869055 0.318367378265266  
  0.01                 0.020747229940624376 0.005511553069216665     0.03580595527294925      0.3164586829321054  0.3012230060606977  0.3315174082644302 
  0.011                0.021186865521879646 0.0056908028296865955    0.036393794046467275     0.3288604669136637  0.31336440422147066 0.3440673954382513 
  0.012                0.021614374498225935 0.00586203675880447      0.03697254423452422      0.3406736101003369  0.32492127236091545 0.3560317798366352 
  0.013000000000000001 0.022029756869663235 0.006025254856570285     0.03754220583712009      0.3519344320833033  0.3359299300702103  0.3674468810507601 
  0.013999999999999999 0.022433012636191546 0.006180457122984042     0.03810277885425488      0.3627074153308748  0.3464548598176673  0.3783771815489382 
  0.015                0.02282414179781088  0.0063276435580457415    0.03865426328592858      0.37225427163885755 0.35575777339909237 0.38808439312697524
  0.016                0.02320314435452122  0.006466814161755383     0.03919665913214121      0.3811726238286951  0.3644362936359293  0.3971661386063151 
  0.017                0.023570020306322575 0.006597968934112967     0.03972996639289275      0.3897512370405203  0.3727791856683107  0.4059111831270905 
  0.018                0.023924769653214946 0.006721107875118491     0.04025418506818322      0.39802050418916857 0.3808168424110721  0.41434991960413686
  0.019                0.02426739239519833  0.006836230984771959     0.0407693151580126       0.40599709486140595 0.3885659334509796  0.42249901762422026
  0.02                 0.02459788853227273  0.006943338263073369     0.041275356662380906     0.41337249936202036 0.395717949092821   0.43004996749212854
  0.021                0.024916258064438142 0.00704242971002272      0.04177230958128813      0.4205125040142783  0.4026386756598629  0.4373685555311283 
  0.022                0.02522250099169457  0.007133505325620013     0.04226017391473427      0.4274343227810248  0.40934532711495025 0.4444719957040645 
  0.023                0.025516617314042006 0.007216565109865248     0.042738949662719336     0.4341536230525499  0.4158535708483731  0.4513759554012272 
  0.024                0.025798607031480465 0.007291609062758426     0.04320863682524331      0.4406833305405386  0.4221763325718166  0.4580933603343015 
  0.024999999999999998 0.02606847014400993  0.007358637184299546     0.04366923540230622      0.4470354813075711  0.4283256483478607  0.4646362465658674 
  0.026                0.026326206651630414 0.0074176494744886065    0.044120745393908034     0.45316491847623563 0.4342563612990938  0.47095945721851323
  0.027                0.02657181655434191  0.007468645933325609     0.04456316680004878      0.4587370678888547  0.4396338972678384  0.47672841813456157
  0.028                0.02680529985214442  0.007511626560810556     0.044996499620728436     0.46416582931408856 0.4448721560227547  0.4823570290826726 
  0.029                0.02702665654503794  0.007546591356943444     0.04542074385594702      0.46945962244736716 0.4499795572592727  0.48785370975827624
  0.03                 0.027235886633022482 0.007573540321724272     0.04583589950570452      0.47462492715727234 0.4549625808459741  0.4932249400299543 
  0.031                0.027432990116098035 0.007592473455153044     0.04624196657000093      0.4796686513759738  0.45982813471502887 0.4984776278298767 
  0.032                0.027617966994264602 0.007603390757229758     0.04663894504883627      0.48459633559185067 0.4645817593548158  0.5036173136464224 
  0.033                0.02779081726752218  0.007606292227954413     0.047026834942210535     0.48941329834246877 0.46922877330290097 0.5086493160171571 
  0.034                0.027951540935870774 0.007601177867327011     0.04740563625012371      0.49412456090065604 0.4737741978321123  0.513578656214909  
  0.035                0.028100137999310385 0.007588047675347551     0.04777534897257581      0.49873464666612555 0.4782225563421627  0.518409857639391  
  0.036000000000000004 0.028236608457841005 0.007566901652016032     0.04813597310956682      0.5032482844408224  0.4825785776349974  0.5231476490925482 
  0.037000000000000005 0.028360952311462642 0.007537739797332455     0.04848750866109676      0.5071280757073902  0.48630486319325994 0.5272546320570243 
  0.038000000000000006 0.028473169560175295 0.007500562111296821     0.04882995562716561      0.5109208962730634  0.48994828882418495 0.5312776823400537 
  0.03900000000000001  0.028573260203978955 0.007455368593909129     0.04916331400777339      0.5146331406271482  0.49351524901707833 0.5352231944309426 
  0.04                 0.028661224242873637 0.007402159245169378     0.04948758380292008      0.5182675432696131  0.49700847827190886 0.5390939028296595 
  0.041                0.028737061676859327 0.00734093406507757      0.04980276501260569      0.5218271585246211  0.5004310309128394  0.5428928618603674 
  0.042                0.02880077250593603  0.007271693053633704     0.05010885763683023      0.5253148393512316  0.5037857598989293  0.5466229244821258 
  0.043000000000000003 0.02885235673010375  0.007194436210837778     0.05040586167559368      0.528732743174956   0.50707482265569    0.5502862481204459 
  0.044000000000000004 0.028891814349362485 0.007109163536689797     0.050693777128896056     0.5320831490136577  0.510300498200985   0.5538851117931913 
  0.045000000000000005 0.028919145363712234 0.007015875031189756     0.05097260399673735      0.5353682814074759  0.5134650110749535  0.557421740040501  
  0.046000000000000006 0.028934349773152995 0.006914570694337659     0.05124234227911756      0.53858996385173    0.5165701847729146  0.5608979563576946 
  0.047                0.028937427577684773 0.006805250526133502     0.05150299197603669      0.5417501885456056  0.5196180114940543  0.5643157529439575 
