# tsed   radius                radius_lbound         radius_ubound        
  3000   0.19944201635837633   0.15099413101435832   0.2857529843844411   
  3001   0.20009079984911526   0.15159272242049804   0.28633301773098285  
  3002   0.20073911783249176   0.15219095543641714   0.2869126329909304   
  3003   0.2013869703085085    0.1527888300621152    0.28749183016428326  
  3004   0.2020343572771628    0.15338634629759262   0.2880706092510432   
  3005   0.2026812787384582    0.1539835041428499    0.28864897025120895  
  3006   0.20332773469239118   0.15458030359788566   0.28922691316478     
  3007   0.2039737251389635    0.15517674466270082   0.2898044379917568   
  3008   0.20461925007817428   0.15577282733729536   0.29038154473214073  
  3009   0.2052643095100244    0.15636855162166885   0.2909582333859295   
  3010   0.20590890343451296   0.15696391751582217   0.2915345039531245   
  3011   0.20655303185164176   0.157558925019754     0.2921103564337262   
  3012   0.207196694761409     0.1581535741334652    0.29268579082773405  
  3013   0.2078398921638147    0.1587478648569558    0.2932608071351468   
  3014   0.20848262405885976   0.15934179719022534   0.29383540535596575  
  3015   0.20912489044654325   0.15993537113327427   0.29440958549019136  
  3016   0.2097666913268661    0.16052858668610215   0.2949833475378223   
  3017   0.21040802669982828   0.1611214438487094    0.295556691498859    
  3018   0.2110488965654298    0.16171394262109606   0.2961296173733028   
  3019   0.21168930092366978   0.16230608300326166   0.2967021251611519   
  3020   0.2123292397745482    0.16289786499520664   0.2972742148624068   
  3021   0.2129687131180651    0.16348928859693102   0.2978458864770679   
  3022   0.2136077209542222    0.16408035380843478   0.2984171400051352   
  3023   0.21424626328301777   0.16467106062971748   0.2989879754466078   
  3024   0.21488434010445268   0.16526140906077957   0.29955839280148666  
  3025   0.21552195141852604   0.1658513991016206    0.30012839206977215  
  3026   0.21615909722523874   0.16644103075224148   0.3006979732514634   
  3027   0.2167957775245899    0.16703030401264085   0.30126713634656     
  3028   0.21743199231658128   0.1676192188828196    0.3018358813550628   
  3029   0.21806774160121112   0.1682077753627773    0.3024042082769718   
  3030   0.2187030253784794    0.16879597345251485   0.30297211711228655  
  3031   0.21933784364838615   0.16938381315203088   0.3035396078610071   
  3032   0.21997219641093224   0.16997129446132675   0.3041066805231343   
  3033   0.22060608366611767   0.17055841738040156   0.3046733350986677   
  3034   0.22123950541394244   0.17114518190925532   0.30523957158760595  
  3035   0.22187246165440566   0.1717315880478889    0.3058053899899509   
  3036   0.22250495238750823   0.172317635796301     0.306370790305702    
  3037   0.22313697761324924   0.17290332515449292   0.3069357725348585   
  3038   0.22376853733162871   0.17348865612246467   0.3075003366774207   
  3039   0.22439963154264841   0.17407362870021448   0.30806448273339004  
  3040   0.22503026024630657   0.17465824288774412   0.30862821070276514  
  3041   0.22566042344260406   0.1752424986850527    0.30919152058554555  
  3042   0.22629012113153912   0.17582639609214112   0.30975441238173174  
  3043   0.2269193533131144    0.17640993510900804   0.310316886091325    
  3044   0.22754811998732816   0.17699311573565435   0.3108789417143232   
  3045   0.22817642115418124   0.1775759379720796    0.31144057925072755  
  3046   0.22880425681367367   0.17815840181828424   0.31200179870053857  
  3047   0.22943162696580455   0.17874050727426827   0.31256260006375536  
  3048   0.23005853161057388   0.17932225434003124   0.3131229833403779   
  3049   0.23068497074798255   0.1799036430155736    0.3136829485304058   
  3050   0.23131094437802968   0.18048467330089535   0.31424249563384077  
  3051   0.23193645250071704   0.18106534519599604   0.31480162465068107  
  3052   0.23256149511604285   0.18164565870087612   0.31536033558092713  
  3053   0.233186072224008     0.18222561381553515   0.3159186284245803   
  3054   0.23381018382461072   0.18280521053997445   0.3164765031816388   
  3055   0.23443382991785366   0.1833844488741918    0.31703395985210303  
  3056   0.23505701050373506   0.183963328818189     0.31759099843597305  
  3057   0.2356797255822558    0.1845418503719647    0.31814761893325016  
  3058   0.2363019751534159    0.18512001353552066   0.31870382134393216  
  3059   0.23692375921721354   0.18569781830885557   0.31925960566802036  
  3060   0.23754507777365053   0.18627526469196898   0.3198149719055148   
  3061   0.23816593082272686   0.18685235268486222   0.3203699200564154   
  3062   0.23878631836444253   0.1874290822875344    0.32092445012072135  
  3063   0.23940624039879754   0.18800545349998554   0.3214785620984335   
  3064   0.240025696925791     0.1885814663222165    0.3220322559895523   
  3065   0.24064468794542293   0.18915712075422642   0.322585531794076    
  3066   0.2412632134576933    0.18973241679601527   0.3231383895120059   
  3067   0.2418812734626039    0.1903073544475835    0.32369082914334246  
  3068   0.24249886796015296   0.19088193370893114   0.3242428506880852   
  3069   0.24311599695034136   0.1914561545800577    0.3247944541462333   
  3070   0.2437326604331682    0.19203001706096456   0.32534563951778717  
  3071   0.2443488584086344    0.19260352115164947   0.3258964068027477   
  3072   0.24496459087673905   0.19317666685211377   0.3264467560011135   
  3073   0.24557985783748304   0.19374945416235745   0.3269966871128851   
  3074   0.24619465929086637   0.19432188308238052   0.32754620013806335  
  3075   0.24680899523688815   0.19489395361218298   0.3280952950766478   
  3076   0.24742286567554928   0.19546566575176438   0.3286439719286376   
  3077   0.24803627060684885   0.19603701950112473   0.3291922306940336   
  3078   0.24864921003078688   0.19660801486026447   0.3297400713728358   
  3079   0.24926168394736514   0.1971786518291836    0.3302874939650442   
  3080   0.24987369235658274   0.19774893040788166   0.33083449847065705  
  3081   0.2504852352584379    0.19831885059635912   0.33138108488967744  
  3082   0.2510963126529324    0.19888841239461552   0.3319272532221036   
  3083   0.25170692454006627   0.1994576158026513    0.3324730034679355   
  3084   0.25231707091983857   0.2000264608204665    0.33301833562717276  
  3085   0.2529267517922502    0.2005949474480606    0.3335632496998171   
  3086   0.2535359671573012    0.20116307568543412   0.3341077456858672   
