# lum                   f_lum                
  0.0035                -0.015879039702288485
  0.0045000000000000005 -0.019202589226273433
  0.0055                -0.02696205325077461 
  0.006500000000000001  -0.03342834377331521 
  0.0075                -0.0342039857068157  
  0.0085                -0.04151877524886426 
  0.009500000000000001  -0.044255016169520094
  0.0105                -0.041381142702659246
  0.0115                -0.046980765740981194
  0.0125                -0.05734709131949479 
  0.013500000000000002  -0.04973212428874673 
  0.014499999999999999  -0.055689065331741325
  0.0155                -0.05768966199684809 
  0.0165                -0.06625559678801995 
  0.0175                -0.0623408382109064  
  0.0185                -0.06263562087008843 
  0.0195                -0.0668224429747608  
  0.0205                -0.06840032378993609 
  0.021500000000000002  -0.06974042725116834 
  0.0225                -0.07437457033666993 
  0.0235                -0.07023065226744461 
  0.0245                -0.07581913254100801 
  0.0255                -0.07894598386493856 
  0.0265                -0.07585836500330864 
  0.0275                -0.06977982710348582 
  0.0285                -0.08034857397721883 
  0.029500000000000002  -0.07716398844867688 
  0.0305                -0.07531451469063799 
  0.0315                -0.08296639693154483 
  0.0325                -0.0790041048176595  
  0.0335                -0.07740391695735425 
  0.0345                -0.08176517494478783 
  0.035500000000000004  -0.0695682049044981  
  0.036500000000000005  -0.07437288681761031 
  0.037500000000000006  -0.08358046695682807 
  0.038500000000000006  -0.07987501021751019 
  0.03950000000000001   -0.06447925195430104 
  0.0405                -0.08191537915820468 
  0.0415                -0.07166484960775087 
  0.0425                -0.07837545090530496 
  0.043500000000000004  -0.07915396418472907 
  0.044500000000000005  -0.06355077533838259 
  0.045500000000000006  -0.08201616673483002 
  0.04650000000000001   -0.06709313223494884 
  0.0475                -0.08865241098294249 
  0.0485                -0.06740711562712944 
  0.0495                -0.07429106867144485 
  0.0505                -0.07509388819153348 
  0.051500000000000004  -0.06435784890380725 
  0.052500000000000005  -0.06386370756515823 
  0.053500000000000006  -0.0706241070481124  
  0.05450000000000001   -0.07838846605747338 
  0.05550000000000001   -0.04657241537772738 
  0.0565                -0.06715670973441944 
  0.0575                -0.05515854223481352 
  0.0585                -0.07236499516775363 
  0.059500000000000004  -0.053972499963115914
  0.060500000000000005  -0.08455505185436807 
  0.061500000000000006  -0.0533480488971898  
  0.0625                -0.06129180974040515 
  0.0635                -0.06006144912735922 
  0.0645                -0.06109645432486665 
  0.0655                -0.03836613981363545 
  0.0665                -0.054417359339266266
  0.0675                -0.07658718275876653 
  0.0685                -0.04969194538146792 
  0.0695                -0.05857814505761682 
  0.07050000000000001   -0.04671053139603209 
  0.07150000000000001   -0.053367613571721366
  0.07250000000000001   -0.05088358258485947 
  0.07350000000000001   -0.05822809121663774 
  0.07450000000000001   -0.03691287420718069 
  0.07550000000000001   -0.044595789877905   
  0.0765                -0.06469884112827338 
  0.0775                -0.04478815604105035 
  0.0785                -0.04943732562368397 
  0.0795                -0.044684644833916654
  0.0805                -0.0670321148741515  
  0.0815                -0.060695900141742636
  0.0825                -0.00959666135576853 
  0.0835                -0.0446825714159582  
  0.0845                -0.05833164704847449 
  0.0855                -0.06076548604973818 
  0.08650000000000001   -0.032323540332762406
  0.08750000000000001   -0.06136276934302275 
  0.08850000000000001   -0.03502694206373923 
  0.08950000000000001   -0.043369959249580196
  0.09050000000000001   -0.03733468184979082 
  0.0915                -0.0599947956643565  
  0.0925                -0.04632740911087362 
  0.0935                -0.04672058248925314 
  0.0945                -0.053774720854846456
  0.0955                -0.035115872815351334
  0.0965                -0.04248902627059813 
  0.0975                -0.024689605552995257
  0.0985                -0.027909277086265668
  0.0995                -0.03395048128619126 
