0.003000000000000000 0.015660934508044864   3.354460699185822e-03 0.031055039499144347 0.19323319287602517 0.18092671906716612 0.20862729786712464
0.004000000000000000 0.016315837042488814   3.594271441863333e-03 0.031783289534946114 0.21762352364012258 0.20490195803949710 0.23309097613257987
0.005000000000000000 0.016955354682937272   3.825579248457603e-03 0.032500698733539939 0.23867542100372086 0.22554564556924120 0.25422076505432351
0.006000000000000000 0.017579487429390240   4.048384118968630e-03 0.033207267094925823 0.25688778606379253 0.24335668275337091 0.27251556572932811
0.007000000000000000 0.018188235281847719   4.262686053396417e-03 0.033902994619103760 0.27345123865607440 0.25952568942762311 0.28916599799333043
0.008000000000000000 0.018781598240309710   4.468485051740962e-03 0.034587881306073757 0.28853686652752913 0.27422375333896037 0.30434314959329317
0.009000000000000001 0.019359576304776208   4.665781114002265e-03 0.035261927155835808 0.30251792665607208 0.28782413146529817 0.31842027750713170
0.010000000000000000 0.019922169475247217   4.854574240180326e-03 0.035925132168389912 0.31563362246672821 0.30056602723166131 0.33163658515987093
0.010999999999999999 0.020469377751722737   5.034864430275145e-03 0.036577496343736075 0.32814297914350682 0.31270846582205919 0.34425109773552015
0.012000000000000000 0.021001201134202764   5.206651684286724e-03 0.037219019681874299 0.34006043673631375 0.32426588728639771 0.35627825528398527
0.013000000000000001 0.021517639622687303   5.369936002215060e-03 0.037849702182804576 0.35142231483632735 0.33527461121585511 0.36775437739644462
0.013999999999999999 0.022018693217176352   5.524717384060155e-03 0.038469543846526906 0.36229309591185965 0.34579912007874342 0.37874394654121019
0.014999999999999999 0.022504361917669913   5.670995829822008e-03 0.039078544673041296 0.37193449175871657 0.35510112567086866 0.38850867451408794
0.016000000000000000 0.022974645724167984   5.808771339500620e-03 0.039676704662347739 0.38094412519834187 0.36377825081367454 0.39764618413652164
0.017000000000000001 0.023429544636670564   5.938043913095990e-03 0.040264023814446243 0.38961076137086831 0.37211926064729373 0.40644524054864395
0.017999999999999999 0.023869058655177650   6.058813550608118e-03 0.040840502129336806 0.39796479319113126 0.38015454808656174 0.41493623666529045
0.019000000000000000 0.024293187779689251   6.171080252037005e-03 0.041406139607019422 0.40602289024589688 0.38790078271824463 0.42313584207322708
0.020000000000000000 0.024701932010205360   6.274844017382649e-03 0.041960936247494092 0.41347654283995300 0.39504945484713028 0.43073554707724171
0.021000000000000001 0.025095291346725980   6.370104846645054e-03 0.042504892050760822 0.42069153729656616 0.40196635079648524 0.43810113800060096
0.021999999999999999 0.025473265789251111   6.456862739824215e-03 0.043038007016819604 0.42768508757858137 0.40866868452915445 0.44524982880614983
0.023000000000000000 0.025835855337780753   6.535117696920134e-03 0.043560281145670447 0.43447286107628863 0.41517212343542798 0.45219728688417832
0.024000000000000000 0.026183059992314899   6.604869717932813e-03 0.044071714437313343 0.44106778350137305 0.42148959322699098 0.45895643794637148
0.024999999999999998 0.026514879752853555   6.666118802862251e-03 0.044572306891748299 0.44748189091641472 0.42763312996642344 0.46553931805530946
0.025999999999999999 0.026831314619396730   6.718864951708446e-03 0.045062058508975308 0.45367002644400195 0.43355757677631362 0.47190077033358052
0.027000000000000000 0.027132364591944409   6.763108164471400e-03 0.045540969288994378 0.45929761592645718 0.43892835949898418 0.47770622062350715
0.028000000000000001 0.027418029670496599   6.798848441151110e-03 0.046009039231805500 0.46477855913244076 0.44415937790309523 0.48336956869374964
0.029000000000000001 0.027688309855053300   6.826085781747582e-03 0.046466268337408675 0.47012127575738250 0.44925905168407682 0.48889923423973791
0.029999999999999999 0.027943205145614509   6.844820186260810e-03 0.046912656605803918 0.47533224566986432 0.45423386071051064 0.49430169713005373
0.031000000000000000 0.028182715542180228   6.855051654690797e-03 0.047348204036991207 0.48041837680205601 0.45909071291456660 0.49958386529686699
0.032000000000000001 0.028406841044750455   6.856780187037542e-03 0.047772910630970555 0.48538520964233650 0.46383514878462362 0.50475127922855667
0.033000000000000002 0.028615581653325201   6.850005783301045e-03 0.048186776387741964 0.49023806272827175 0.46847248685824761 0.50980925746268857
0.034000000000000002 0.028808937367904450   6.834728443481309e-03 0.048589801307305426 0.49498195733268974 0.47300774840826659 0.51476282127209072
0.035000000000000003 0.028986908188488210   6.810948167578329e-03 0.048981985389660948 0.49962141685530337 0.47744545683439349 0.51961649405647614
0.036000000000000004 0.029149494115076481   6.778664955592107e-03 0.049363328634808523 0.50416117009805783 0.48179034093857348 0.52437500461778996
0.037000000000000005 0.029296695147669263   6.737878807522645e-03 0.049733831042748158 0.50806381854359672 0.48550500220345011 0.52850095443867562
0.038000000000000006 0.029428511286266550   6.688589723369940e-03 0.050093492613479847 0.51187623799915460 0.48913631643625805 0.53254121932636800
0.039000000000000007 0.029544942530868354   6.630797703133993e-03 0.050442313347003588 0.51560482295403753 0.49269067812630324 0.53650219377017283
0.040000000000000001 0.029645988881474662   6.564502746814806e-03 0.050780293243319383 0.51925230790821408 0.49617082177355426 0.54038661227005880
0.041000000000000002 0.029731650338085482   6.489704854412377e-03 0.051107432302427244 0.52282174718584729 0.49957980170217414 0.54419752915018904
0.042000000000000003 0.029801926900700815   6.406404025926704e-03 0.051423730524327152 0.52631599374599636 0.50292047087122227 0.54793779736962278
0.043000000000000003 0.029856818569320653   6.314600261357792e-03 0.051729187909019134 0.52973720501417287 0.50619498670621010 0.55160957435387137
0.044000000000000004 0.029896325343945006   6.214293560705639e-03 0.052023804456503155 0.53308766000824026 0.50940562822500091 0.55521513912079834
0.045000000000000005 0.029920447224573862   6.105483923970242e-03 0.052307580166779236 0.53636958326833761 0.51255461996773399 0.55875671621054301
0.046000000000000006 0.029929184211207237   5.988171351151605e-03 0.052580515039847384 0.53958479828978423 0.51564378542972855 0.56223612911842435
0.047000000000000000 0.029922536303845115   5.862355842249726e-03 0.052842609075707578 0.54273529727176595 0.51867511681017053 0.56565537004362842
0.048000000000000001 0.029900503502487508   5.728037397264605e-03 0.053093862274359825 0.54582299375462784 0.52165052764940489 0.56901635252650018
0.049000000000000002 0.029863085807134409   5.585216016196242e-03 0.053334274635804139 0.54884937983322279 0.52457151004228464 0.57232056866189251
0.050000000000000003 0.029810283217785817   5.433891699044638e-03 0.053563846160040507 0.55181607492658558 0.52743968340784442 0.57556963786884030
0.051000000000000004 0.029742095734441740   5.274064445809792e-03 0.053782576847068927 0.55467388963539777 0.53020585834676581 0.57871437074802490
0.052000000000000005 0.029658523357102170   5.105734256491704e-03 0.053990466696889408 0.55719118518648725 0.53263839608587682 0.58152312852627452
0.053000000000000005 0.029559566085767111   4.928901131090374e-03 0.054187515709501942 0.55965555101896380 0.53502488606428700 0.58428350064269863
0.054000000000000006 0.029445223920436563   4.743565069605805e-03 0.054373723884906536 0.56206918547380336 0.53736752662297260 0.58699768543827335
0.055000000000000007 0.029315496861110523   4.549726072037992e-03 0.054549091223103176 0.56443284298317031 0.53966707219409771 0.58966643734516289
0.056000000000000001 0.029170384907788997   4.347384138386939e-03 0.054713617724091883 0.56674701928417948 0.54192401851477745 0.59229025210048236
0.057000000000000002 0.029009888060471976   4.136539268652643e-03 0.054867303387872643 0.56901385258776316 0.54414050379594381 0.59487126791516376
0.058000000000000003 0.028834006319159465   3.917191462835106e-03 0.055010148214445456 0.57123372078576240 0.54631690592943805 0.59740986268104845
0.059000000000000004 0.028642739683851469   3.689340720934326e-03 0.055142152203810336 0.57340734421641504 0.54845394525349789 0.59990675673637395
0.060000000000000005 0.028436088154547977   3.452987042950307e-03 0.055263315355967263 0.57553579878516536 0.55055269767356763 0.60236302598658464
0.061000000000000006 0.028214051731249003   3.208130428883042e-03 0.055373637670916256 0.57762018122116010 0.55261425991879409 0.60477976716082738
0.062000000000000006 0.027976630413954533   2.954770878732540e-03 0.055473119148657296 0.57966143007839843 0.55463957054317647 0.60715791881310122
0.063000000000000000 0.027723824202664574   2.692908392498796e-03 0.055561759789190396 0.58165958781578297 0.55662867200561716 0.60949752340230878
0.064000000000000001 0.027455633097379126   2.422542970181806e-03 0.055639559592515556 0.58361646189700322 0.55858337176980599 0.61180038839213968
0.065000000000000002 0.027172057098098182   2.143674611781579e-03 0.055706518558632762 0.58553157803627021 0.56050319554995354 0.61406603949680472
0.066000000000000003 0.026873096204821756   1.856303317298106e-03 0.055762636687542028 0.58740664905820172 0.56238985617067805 0.61629618954092191
0.067000000000000004 0.026558750417549841   1.560429086731396e-03 0.055807913979243354 0.58924155982237203 0.56424323849155356 0.61849072338406552
0.068000000000000005 0.026229019736282430   1.256051920081443e-03 0.055842350433736740 0.59103775630328403 0.56606478848708308 0.62065108700073834
0.069000000000000006 0.025883904161019537   9.431718173482458e-04 0.055865946051022179 0.59279476735165004 0.56785403500797882 0.62277680924165268
0.070000000000000007 0.025523403691761141   6.217887785318101e-04 0.055878700831099672 0.59451435037855072 0.56961273546532143 0.62486964751788932
0.071000000000000008 0.025147518328507264   2.919028036321289e-04 0.055880614773969224 0.59619658412051180 0.57134096859563666 0.62692968056597376
0.072000000000000008 0.024756248071257897  -4.648610735078981e-05 0.055871687879630830 0.59784142965873699 0.57303869548012831 0.62895686946710994
0.073000000000000009 0.024349592920013041  -3.933779544169542e-04 0.055851920148084488 0.59930436302530221 0.57456139215087221 0.63080669025337366
0.074000000000000010 0.023927552874772693  -7.487727375663561e-04 0.055821311579330214 0.60059382636190006 0.57591750074956105 0.63248758506645764
0.075000000000000011 0.023490127935536849  -1.112670456799004e-03 0.055779862173367986 0.60184957964025965 0.57724678124792383 0.63413931387809075
0.075999999999999998 0.023037318102305526  -1.485071112114885e-03 0.055727571930197825 0.60307223452497394 0.57854984531055353 0.63576248835286631
0.076999999999999999 0.022569123375078711  -1.865974703514012e-03 0.055664440849819717 0.60426251547454501 0.57982741739595234 0.63735783294928605
0.078000000000000000 0.022085543753856407  -2.255381230996384e-03 0.055590468932233662 0.60542070192456399 0.58107977693971125 0.63892562710294121
0.079000000000000001 0.021586579238638610  -2.653290694561994e-03 0.055505656177439661 0.60654706374829570 0.58230719381509510 0.64046614068709673
0.080000000000000002 0.021072229829425311  -3.059703094210850e-03 0.055410002585437726 0.60764201228447079 0.58351007936083454 0.64197978504048314
0.081000000000000003 0.020542495526216537  -3.474618429942943e-03 0.055303508156227837 0.60870604796106076 0.58468893400490130 0.64346706059107206
0.082000000000000003 0.019997376329012270  -3.898036701758283e-03 0.055186172889810016 0.60973937188688498 0.58584395885611451 0.64492816844768275
0.083000000000000004 0.019436872237812514  -4.329957909656859e-03 0.055057996786184241 0.61074240543922254 0.58697557529175315 0.64636352998759428
0.084000000000000005 0.018860983252617269  -4.770382053638682e-03 0.054918979845350525 0.61171533388043342 0.58808396857417744 0.64777333047316665
0.085000000000000006 0.018269709373426521  -5.219309133703743e-03 0.054769122067308870 0.61265865990124768 0.58916964139411743 0.64915807259513003
0.086000000000000007 0.017663050600240295  -5.676739149852048e-03 0.054608423452059268 0.61357229049978290 0.59023250074969058 0.65051766335160188
0.087000000000000008 0.017041006933058579  -6.142672102083592e-03 0.054436883999601726 0.61445702872323282 0.59127334968809064 0.65185290578977595
0.088000000000000009 0.016403578371881375  -6.617107990398377e-03 0.054254503709936230 0.61531231248645957 0.59229162612417985 0.65316323782451446
0.089000000000000010 0.015750764916708678  -7.100046814796408e-03 0.054061282583062802 0.61613961089371760 0.59328879916221255 0.65445012856007168
0.090000000000000011 0.015082566567540482  -7.591488575277675e-03 0.053857220618981419 0.61693853879762395 0.59426448365480578 0.65571319284906493
0.090999999999999998 0.014398983324376816  -8.091433271842183e-03 0.053642317817692103 0.61770944819887685 0.59521903160265788 0.65695278269219215
0.091999999999999998 0.013700015187217651  -8.599880904489935e-03 0.053416574179194841 0.61845196297665117 0.59615206688494360 0.65816852196862841
0.092999999999999999 0.012985662156062994  -9.116831473220932e-03 0.053179989703489638 0.61916752899872984 0.59706503536944588 0.65936185654615653
0.094000000000000000 0.012255924230912839  -9.642284978035168e-03 0.052932564390576489 0.61985564811652227 0.59795743890757425 0.66053228827618593
0.095000000000000001 0.011510801411767203  -1.017624141893265e-02 0.052674298240455386 0.62051667208494954 0.59882962925424965 0.66168016891363779
0.096000000000000002 0.010750293698626078  -1.071870079591337e-02 0.052405191253126343 0.62115024712281230 0.59968125262827277 0.66280514467731255
